phase,scene,frac_disagreement,frac_downweight,frac_geodf_authoritative,frac_hard_reject,frac_joint_authoritative,frac_keep,frac_no_authoritative,frac_quarantine,frac_semantic_authoritative,frames,mean_dynamic_weight,mean_final_weight,mean_q_g,mean_q_m,mean_q_s,median_q_g,median_q_s,runs,tracks
legacy_holdout,city_night_3_high,0.015822784810126583,0.00015673513255314066,0.0,0.0,0.9081382851683784,0.9840204800573202,0.020895529814505216,0.015822784810126583,0.07096618501711648,3708.0,0.9994481625567224,0.8527485838756846,0.9427469022658944,0.8937764263568798,0.955335920664657,1.0,0.960848,3.0,401952.0
train,MH_03_medium,0.006649062018225391,8.547921786515654e-05,0.0,0.0,0.9312228107398531,0.9932654587639095,0.008480759543907316,0.006649062018225391,0.060296429716239525,11745.0,0.9997886402759782,0.8976006498282821,0.9532894271106253,0.9359950442751819,0.9789758798925341,1.0,0.98104,5.0,1637825.0
train,MH_04_difficult,0.007602682462600281,5.336464058914563e-06,0.0,0.0,0.89234662112884,0.9923919810733408,0.010453243680737143,0.007602682462600281,0.09720013519042282,8655.0,0.9998622947320216,0.9065669973691262,0.9244141069532783,0.9443958550411814,0.9614700412010507,1.0,0.960683,5.0,1124340.0
train,city_day_2_mid,0.013182564095749982,0.00013951912408565145,0.0013393835912222539,0.0,0.9451530391915863,0.9866779167801644,0.018756685291362436,0.013182564095749982,0.034750891925828975,6635.0,0.9995875197791583,0.8514234609153809,0.9695585943464878,0.8890311436356041,0.961672327159089,1.0,0.960721,5.0,752585.0
train,city_day_3_high,0.018010793293327658,0.0005753676723013333,0.0006289221811790231,0.0,0.9340277110253629,0.981413839034371,0.023800173022259452,0.018010793293327658,0.04154319377119866,6635.0,0.99913675785123,0.8472947713304853,0.9652388113934721,0.8856143039506711,0.9596964413825334,1.0,0.960721,5.0,728230.0
