phase,dataset,scene,method,trial,seed,status,success,trajectory_coverage,ate_rmse_m,rpe_rmse_m,protocol_tag,git_sha,git_dirty,config_sha256,manifest_sha256,bag_sha256,gt_sha256,model_sha256
stage_a_n1,euroc,MH_03_medium,adaptive_arbitration_v2,1,1001,ok,1,,0.261363,0.050682,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,e507a5bf696b2e55d0624e925d24f80a45c3df7a02e07a9d18b6e8ccfc2ffaa0,bf915dd9275843e9d2632f73d955318620b6a8a8eaa097b1efc3e0c985053ec0,565fd3e1d90455c6fc11a25da4ddb425e4715bf4200aeb644440ed741061eaf4,589efd15d5287d061e2e42c057e573a546add79f2403f1173c10ba9e7e48eabb,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,euroc,MH_03_medium,adaptive_arbitration_v2_f0,1,1001,ok,1,,0.261479,0.050501,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,c3efe3083cc68166fd2d03fb43063b6cc740b46035d62982126bb90db4d02a2c,da5b659fc05962ace2d8ca6f21c816e67416006399ea2946544f3753252af723,565fd3e1d90455c6fc11a25da4ddb425e4715bf4200aeb644440ed741061eaf4,589efd15d5287d061e2e42c057e573a546add79f2403f1173c10ba9e7e48eabb,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,euroc,MH_03_medium,adaptive_arbitration_v2_f2,1,1001,ok,1,,0.260606,0.050589,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,f4f6d873a3f59afa4b1fcd837c43a76145acb42c04ae866a2521108ac950960c,e3f4342dd138b705bc6d67280e7ba08b1364ce65f357dad67ecb46c69d8abe7b,565fd3e1d90455c6fc11a25da4ddb425e4715bf4200aeb644440ed741061eaf4,589efd15d5287d061e2e42c057e573a546add79f2403f1173c10ba9e7e48eabb,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,euroc,MH_03_medium,adaptive_arbitration_v2_g1,1,1001,ok,1,,0.261202,0.050635,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,2456e31df0ec78e64f25d675b866c640e2c75f3d9ee312588bf51436953427db,f937ffc1b1e305ae73e34de176e32ccdb9f02359ba799ef5946670e293273e61,565fd3e1d90455c6fc11a25da4ddb425e4715bf4200aeb644440ed741061eaf4,589efd15d5287d061e2e42c057e573a546add79f2403f1173c10ba9e7e48eabb,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,euroc,MH_03_medium,adaptive_arbitration_v2_g3,1,1001,ok,1,,0.257426,0.050568,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,09fbbc6b61dae82aedc5357d546ca61b4bbd2f10ce7072f112af74b562d88795,e838d8cd8ab88c223a7066a8953abc27234d34b5148d9a5b769e6e1df3cb626f,565fd3e1d90455c6fc11a25da4ddb425e4715bf4200aeb644440ed741061eaf4,589efd15d5287d061e2e42c057e573a546add79f2403f1173c10ba9e7e48eabb,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,euroc,MH_03_medium,union_weight,1,1001,ok,1,,0.259976,0.049718,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,fcfadc9eeaa93975b71006e0382fa17468fdeff9caa67eeb191fecc8c53ad641,a21df55dde99195f131c6016e3e4fca05674a887e998d300fee7ad484015ecc9,565fd3e1d90455c6fc11a25da4ddb425e4715bf4200aeb644440ed741061eaf4,589efd15d5287d061e2e42c057e573a546add79f2403f1173c10ba9e7e48eabb,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,euroc,MH_04_difficult,adaptive_arbitration,1,1001,ok,1,,0.432812,0.065602,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,6cf0781adfae6c4f8d74c5674217b9396dd8666ada1fac52c4395f7d53711775,cfab2290f3a1484778cbba4d142446877bda716e1829240b6669b9bc2a5f1e1b,cbdd4e3124bd56a8fa8ed9dd885ce6fa096287094dca0c301adb5acd858d3d55,5639c79189c99a4ce72622378f07f5bc26e93ad368a010f00d48468f3884fec9,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,euroc,MH_04_difficult,adaptive_arbitration_v2,1,1001,ok,1,,0.447773,0.06589,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,26808874c656bd7b892f6c2842e8cd09b38e687ec63b1f4fb2c198fab238c103,66e62af6b6e62158b8caca909d94efd99e51621eeab3e0f76e9fb67e0ffefac2,cbdd4e3124bd56a8fa8ed9dd885ce6fa096287094dca0c301adb5acd858d3d55,5639c79189c99a4ce72622378f07f5bc26e93ad368a010f00d48468f3884fec9,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,euroc,MH_04_difficult,adaptive_arbitration_v2_f0,1,1001,ok,1,,0.424863,0.065736,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,b0d8131397a01052b1d16a8ae163f3c9385f2b18c388faed6f8ae613bd5f1685,a04644309064d3308dc22590b45de8bd6b1e9bfa7af15214ab6f753382ca481d,cbdd4e3124bd56a8fa8ed9dd885ce6fa096287094dca0c301adb5acd858d3d55,5639c79189c99a4ce72622378f07f5bc26e93ad368a010f00d48468f3884fec9,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,euroc,MH_04_difficult,adaptive_arbitration_v2_f2,1,1001,ok,1,,0.447184,0.065844,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,c7907cd818847c566c48f188593af79cd9e7e81a53dc96b9f2fac761354cba06,a6bbbc70a3a2e56a7423a3893eab39a6c995a4837ecedea00e9704ab4d1f05f6,cbdd4e3124bd56a8fa8ed9dd885ce6fa096287094dca0c301adb5acd858d3d55,5639c79189c99a4ce72622378f07f5bc26e93ad368a010f00d48468f3884fec9,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,euroc,MH_04_difficult,adaptive_arbitration_v2_g1,1,1001,ok,1,,0.447802,0.065887,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,3b81482c477be161718b89a6e47ef4b7a49bc19b58306ac295e8581a10a66410,cb74294dc3c738aca139f24154004d351c0a4972ab8d44a8a2117da0e5f0570a,cbdd4e3124bd56a8fa8ed9dd885ce6fa096287094dca0c301adb5acd858d3d55,5639c79189c99a4ce72622378f07f5bc26e93ad368a010f00d48468f3884fec9,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
